 Name                           Version    License                                                                                                                                        
 Jinja2                         3.1.6      BSD License                                                                                                                                    
 MarkupSafe                     3.0.3      BSD-3-Clause                                                                                                                                   
 PyYAML                         6.0.3      MIT License                                                                                                                                    
 Pygments                       2.19.2     BSD License                                                                                                                                    
 Sphinx                         8.1.3      BSD License                                                                                                                                    
 accessible-pygments            0.0.5      BSD License                                                                                                                                    
 alabaster                      1.0.0      BSD License                                                                                                                                    
 babel                          2.17.0     BSD License                                                                                                                                    
 beautifulsoup4                 4.14.2     MIT License                                                                                                                                    
 brotli                         1.2.0      MIT                                                                                                                                            
 certifi                        2025.10.5  Mozilla Public License 2.0 (MPL 2.0)                                                                                                           
 cffi                           2.0.0      MIT                                                                                                                                            
 charset-normalizer             3.4.4      MIT                                                                                                                                            
 cssselect2                     0.8.0      BSD License                                                                                                                                    
 docutils                       0.21.2     BSD License; GNU General Public License (GPL); Public Domain; Python Software Foundation License                                               
 fonttools                      4.60.1     MIT                                                                                                                                            
 furo                           2025.9.25  MIT License                                                                                                                                    
 idna                           3.11       BSD-3-Clause                                                                                                                                   
 imagesize                      1.4.1      MIT License                                                                                                                                    
 libsass                        0.23.0     MIT License                                                                                                                                    
 markdown-it-py                 3.0.0      MIT License                                                                                                                                    
 mdit-py-plugins                0.5.0      MIT License                                                                                                                                    
 mdurl                          0.1.2      MIT License                                                                                                                                    
 myst-parser                    4.0.1      MIT License                                                                                                                                    
 packaging                      25.0       Apache Software License; BSD License                                                                                                           
 pillow                         12.0.0     MIT-CMU                                                                                                                                        
 pycparser                      2.23       BSD License                                                                                                                                    
 pydyf                          0.11.0     BSD License                                                                                                                                    
 pyphen                         0.17.2     GNU General Public License v2 or later (GPLv2+); GNU Lesser General Public License v2 or later (LGPLv2+); Mozilla Public License 1.1 (MPL 1.1) 
 requests                       2.32.5     Apache Software License                                                                                                                        
 snowballstemmer                3.0.1      BSD License                                                                                                                                    
 soupsieve                      2.8        MIT                                                                                                                                            
 sphinx-basic-ng                1.0.0b2    MIT License                                                                                                                                    
 sphinx-rtd-theme               3.0.2      MIT License                                                                                                                                    
 sphinx-simplepdf               1.6.0      MIT License                                                                                                                                    
 sphinxcontrib-applehelp        2.0.0      BSD License                                                                                                                                    
 sphinxcontrib-devhelp          2.0.0      BSD License                                                                                                                                    
 sphinxcontrib-htmlhelp         2.1.0      BSD License                                                                                                                                    
 sphinxcontrib-jquery           4.1        BSD License                                                                                                                                    
 sphinxcontrib-jsmath           1.0.1      BSD License                                                                                                                                    
 sphinxcontrib-qthelp           2.0.0      BSD License                                                                                                                                    
 sphinxcontrib-serializinghtml  2.0.0      BSD License                                                                                                                                    
 tinycss2                       1.4.0      BSD License                                                                                                                                    
 tinyhtml5                      2.0.0      MIT License                                                                                                                                    
 typing_extensions              4.15.0     PSF-2.0                                                                                                                                        
 urllib3                        2.5.0      MIT                                                                                                                                            
 weasyprint                     66.0       BSD License                                                                                                                                    
 webencodings                   0.5.1      BSD License                                                                                                                                    
 zopfli                         0.4.0      Apache Software License                                                                                                                        
